,match_id,date,home_team,away_team,home_score,away_score,home_possession_%,away_possession_%,home_shots_on_target,away_shots_on_target,home_shots,away_shots,home_touches,away_touches,home_passes,away_passes,home_tackles,away_tackles,home_clearances,away_clearances,home_corners,away_corners,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_fouls_conceded,away_fouls_conceded
0,58896,01/12/2021,Burnley,Man Utd,0,1,37.3,62.7,0.0,7.0,11.0,13.0,506.0,753.0,334.0,566.0,5.0,12.0,18.0,19.0,3.0,4.0,3.0,2.0,1.0,2.0,,,15.0,13.0
1,58897,09/12/2020,Crystal Palace,Southampton,1,0,29.4,70.6,3.0,5.0,5.0,9.0,449.0,787.0,236.0,580.0,15.0,28.0,22.0,15.0,7.0,3.0,4.0,0.0,2.0,1.0,0.0,1.0,14.0,11.0
2,58898,09/12/2020,Fulham,Arsenal,0,3,45.6,54.4,2.0,6.0,5.0,13.0,667.0,775.0,523.0,626.0,11.0,12.0,7.0,11.0,2.0,3.0,2.0,2.0,2.0,2.0,,,12.0,12.0
3,58899,09/12/2020,Liverpool,Leeds,4,3,48.8,51.2,6.0,3.0,22.0,6.0,661.0,695.0,432.0,459.0,13.0,34.0,11.0,34.0,9.0,0.0,2.0,5.0,1.0,0.0,,,9.0,6.0
4,58900,01/20/2021,Man City,Aston Villa,2,0,69.1,30.9,9.0,4.0,28.0,11.0,810.0,458.0,628.0,285.0,14.0,14.0,11.0,29.0,16.0,2.0,3.0,1.0,0.0,2.0,,,10.0,9.0
5,58901,09/13/2020,Spurs,Everton,0,1,51.6,48.4,5.0,4.0,9.0,15.0,730.0,735.0,552.0,529.0,9.0,19.0,17.0,36.0,5.0,3.0,0.0,1.0,1.0,0.0,,,15.0,7.0
6,58902,09/13/2020,West Brom,Leicester,0,3,35.8,64.2,1.0,7.0,7.0,13.0,487.0,779.0,336.0,604.0,7.0,17.0,13.0,14.0,2.0,5.0,4.0,3.0,1.0,1.0,,,12.0,9.0
7,58903,09/12/2020,West Ham,Newcastle,0,2,58.3,41.7,3.0,2.0,15.0,15.0,640.0,526.0,474.0,342.0,14.0,13.0,18.0,28.0,8.0,7.0,2.0,4.0,2.0,2.0,,,13.0,7.0
8,58904,09/14/2020,Brighton,Chelsea,1,3,52.3,47.7,3.0,5.0,13.0,10.0,681.0,644.0,507.0,465.0,17.0,16.0,8.0,15.0,4.0,3.0,0.0,3.0,1.0,0.0,,,8.0,13.0
9,58905,09/14/2020,Sheffield Utd,Wolves,0,2,55.1,44.9,2.0,4.0,9.0,11.0,644.0,597.0,460.0,391.0,16.0,14.0,10.0,35.0,12.0,5.0,4.0,0.0,2.0,1.0,,,13.0,7.0
10,58906,09/19/2020,Arsenal,West Ham,2,1,62.6,37.4,3.0,3.0,7.0,14.0,844.0,564.0,669.0,383.0,8.0,10.0,17.0,27.0,7.0,5.0,5.0,2.0,0.0,1.0,,,11.0,13.0
11,58907,09/21/2020,Aston Villa,Sheffield Utd,1,0,71.9,28.1,2.0,1.0,18.0,4.0,732.0,374.0,553.0,221.0,5.0,9.0,14.0,36.0,10.0,4.0,1.0,0.0,3.0,1.0,0.0,1.0,12.0,13.0
12,58908,09/20/2020,Chelsea,Liverpool,0,2,38.7,61.3,3.0,6.0,5.0,18.0,675.0,934.0,488.0,764.0,17.0,14.0,34.0,3.0,1.0,11.0,1.0,1.0,1.0,0.0,1.0,0.0,10.0,6.0
13,58909,09/19/2020,Everton,West Brom,5,2,71.3,28.7,7.0,4.0,17.0,6.0,982.0,491.0,799.0,322.0,21.0,18.0,4.0,20.0,11.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,9.0,11.0
14,58910,09/19/2020,Leeds,Fulham,4,3,50.3,49.7,7.0,6.0,10.0,14.0,658.0,668.0,444.0,438.0,22.0,18.0,11.0,16.0,5.0,3.0,3.0,0.0,1.0,2.0,,,13.0,18.0
15,58911,09/20/2020,Leicester,Burnley,4,2,67.8,32.2,6.0,5.0,14.0,16.0,796.0,481.0,621.0,292.0,13.0,12.0,13.0,28.0,15.0,4.0,0.0,1.0,1.0,2.0,,,11.0,13.0
16,58912,09/19/2020,Man Utd,Crystal Palace,1,3,75.8,24.2,4.0,5.0,17.0,14.0,912.0,444.0,705.0,225.0,14.0,24.0,14.0,33.0,9.0,3.0,1.0,2.0,2.0,1.0,,,13.0,10.0
17,58913,09/20/2020,Newcastle,Brighton,0,3,47.2,52.8,0.0,6.0,6.0,13.0,534.0,598.0,386.0,444.0,10.0,8.0,14.0,20.0,7.0,1.0,1.0,2.0,3.0,0.0,0.0,1.0,16.0,15.0
18,58914,09/20/2020,Southampton,Spurs,2,5,52.5,47.5,7.0,6.0,14.0,9.0,611.0,576.0,460.0,419.0,8.0,8.0,7.0,21.0,3.0,2.0,2.0,6.0,4.0,3.0,,,17.0,18.0
19,58915,09/21/2020,Wolves,Man City,1,3,34.8,65.2,1.0,9.0,10.0,14.0,545.0,861.0,356.0,692.0,25.0,22.0,9.0,10.0,4.0,6.0,2.0,3.0,0.0,3.0,,,7.0,8.0
20,58916,09/26/2020,Brighton,Man Utd,2,3,53.3,46.7,5.0,3.0,18.0,7.0,676.0,622.0,488.0,445.0,12.0,15.0,4.0,21.0,7.0,1.0,1.0,4.0,4.0,2.0,,,18.0,16.0
21,58917,09/26/2020,Burnley,Southampton,0,1,53.4,46.6,2.0,1.0,10.0,5.0,722.0,679.0,522.0,480.0,15.0,12.0,11.0,37.0,8.0,2.0,2.0,1.0,1.0,0.0,,,8.0,10.0
22,58918,09/26/2020,Crystal Palace,Everton,1,2,42.3,57.7,1.0,5.0,8.0,10.0,579.0,742.0,370.0,524.0,26.0,20.0,12.0,25.0,7.0,6.0,1.0,0.0,3.0,1.0,,,16.0,15.0
23,58919,09/28/2020,Fulham,Aston Villa,0,3,65.0,35.0,3.0,5.0,16.0,12.0,759.0,513.0,538.0,302.0,9.0,23.0,7.0,34.0,5.0,3.0,0.0,3.0,6.0,3.0,,,18.0,14.0
24,58920,09/28/2020,Liverpool,Arsenal,3,1,66.0,34.0,8.0,3.0,21.0,4.0,950.0,561.0,772.0,395.0,10.0,11.0,13.0,37.0,7.0,3.0,0.0,5.0,2.0,2.0,,,11.0,7.0
25,58921,09/27/2020,Man City,Leicester,2,5,71.7,28.3,5.0,7.0,16.0,7.0,847.0,430.0,680.0,267.0,12.0,23.0,7.0,22.0,3.0,3.0,2.0,3.0,1.0,3.0,,,13.0,8.0
26,58922,09/27/2020,Sheffield Utd,Leeds,0,1,36.3,63.7,4.0,9.0,14.0,17.0,545.0,801.0,327.0,578.0,23.0,13.0,30.0,10.0,5.0,7.0,2.0,1.0,2.0,1.0,,,18.0,4.0
27,58923,09/27/2020,Spurs,Newcastle,1,1,65.8,34.2,12.0,1.0,23.0,6.0,818.0,498.0,640.0,319.0,10.0,16.0,17.0,25.0,10.0,4.0,0.0,1.0,1.0,4.0,,,15.0,9.0
28,58924,09/26/2020,West Brom,Chelsea,3,3,24.1,75.9,3.0,10.0,9.0,22.0,456.0,983.0,249.0,797.0,9.0,12.0,39.0,11.0,3.0,9.0,1.0,0.0,1.0,3.0,,,8.0,16.0
29,58925,09/27/2020,West Ham,Wolves,4,0,36.9,63.1,7.0,2.0,15.0,11.0,560.0,822.0,367.0,626.0,24.0,17.0,17.0,6.0,1.0,3.0,3.0,2.0,0.0,1.0,,,7.0,11.0
30,58926,10/04/2020,Arsenal,Sheffield Utd,2,1,64.5,35.5,5.0,2.0,6.0,6.0,860.0,525.0,699.0,373.0,8.0,11.0,18.0,22.0,2.0,4.0,0.0,3.0,0.0,1.0,,,3.0,9.0
31,58927,10/04/2020,Aston Villa,Liverpool,7,2,30.2,69.8,11.0,8.0,18.0,14.0,490.0,854.0,285.0,650.0,15.0,14.0,31.0,14.0,2.0,7.0,2.0,1.0,2.0,1.0,,,7.0,10.0
32,58928,10/03/2020,Chelsea,Crystal Palace,4,0,70.9,29.1,6.0,0.0,17.0,4.0,876.0,455.0,707.0,280.0,14.0,10.0,14.0,15.0,8.0,5.0,1.0,0.0,2.0,0.0,,,17.0,13.0
